PCA_Component_1,PCA_Component_2,kategori
-0.0566635150704693,-0.0662560653423945,Finance
-0.154473267356327,-0.0114200302572691,Finance
-0.0628429540957949,-0.0547560110478109,Finance
-0.0872420270263995,-0.028447123422982,Finance
-0.0773956567876218,-0.0285473972375497,Finance
-0.0862327890334953,-0.0720731495655459,Finance
-0.0812210743787915,-0.042691808670211,Finance
-0.046423311352458,-0.0375391416766643,Finance
-0.0802789475468979,-0.038679990148356,Finance
-0.220477952851184,0.0266889796450077,Finance
